ticker,delta_ipca_lag
AMBP3,-6.674738021919291
CCHI3,-4.796920391442391
FTRX4,-3.953490528480802
PDGR3,-3.7530420850627615
TERI3,-3.08243014052176
IDVL4,-2.6411991266930914
AVLL3,-2.6221071935185782
TOYB4,-2.3116475627784503
OGXP3,-2.1711607912963475
AMER3,-1.8800815255581433
ADHM3,-1.814902333558885
ARND3,-1.7891484244730969
IFCM3,-1.7565369469324823
SEQL3,-1.73389820152062
DTCY3,-1.5224791438919802
GFSA3,-1.5173451702941374
SBFG3,-1.4566084780270325
SFSA4,-1.4104958843688788
INEP4,-1.3217747680813274
SPRI3,-1.3151387937120111
BRAV3,-1.2953593632448686
ELEK4,-1.2900307784422922
CBEE3,-1.2838835872369692
SGPS3,-1.2425028526477717
AGXY3,-1.2384353916647575
AERI3,-1.2106848721365466
ENJU3,-1.1941608296611044
LINX3,-1.1185441808485086
TXRX4,-1.114138600111444
RJCP3,-1.0986919629863245
BICB4,-1.0947789904918355
AELP3,-1.081457374919808
PMET6,-1.07796766197545
FRIO3,-1.045235521465199
SULT4,-1.0061407217585971
JSLG3,-0.9989457180436401
NUTR3,-0.9930765475985076
ANIM3,-0.9803957562195083
PLAS3,-0.9749670888580607
NEXP3,-0.9718679901525358
RECV3,-0.9699938985877562
CTKA4,-0.9623221299303591
SRNA3,-0.9555372929999467
RLOG3,-0.9373613687602662
PARD3,-0.9339036805762915
VIVA3,-0.9184355212006915
KRSA3,-0.9101614975537694
CSRN3,-0.9023212837700416
VIVR3,-0.8968145566993145
DASA3,-0.8944462090159411
HAPV3,-0.8600632845910363
QUAL3,-0.855784415451936
LAME4,-0.8389122552982922
CREM3,-0.8353038942625921
PRIO3,-0.8350561396577505
OIBR3,-0.8073059883753421
INTB3,-0.8040518154030499
MGEL4,-0.7999879711633632
HBSA3,-0.7929629486795835
TEMP3,-0.7918707370593836
HOOT4,-0.7821465261995202
OSXB3,-0.767484014358698
SOJA3,-0.7661184950425912
KEPL3,-0.7376023768166647
ELPL4,-0.7327963553690123
MGLU3,-0.7280531825306902
CTSA4,-0.7059359738728669
NETC4,-0.6931766731125897
ALPA4,-0.6908847116835766
ZAMP3,-0.6785579310575701
NTCO3,-0.6768676936841717
ESTR4,-0.6614856883787297
CEBR6,-0.6598711985632063
GETI4,-0.6555668386720094
BPAC11,-0.645990784635565
SHUL4,-0.6349989250367581
AMBV4,-0.6268921275315567
BRKM5,-0.626318765422407
MRVE3,-0.6192031857103087
B3SA3,-0.6174905889966146
AXIA3,-0.6146595804559017
CRFB3,-0.6118819444627587
EMAE4,-0.6110597175812552
DMVF3,-0.5989752670566375
MWET4,-0.5969625624051028
NATU3,-0.5922541509897565
RDOR3,-0.5833744109348041
MOVI3,-0.5826149676458655
RENT3,-0.5807755520812897
CSAN3,-0.5646902135703944
BISA3,-0.5613672263395356
ENMT4,-0.5603364875915426
AZUL4,-0.5591243879111857
BEEF3,-0.5558756222679667
MBRF3,-0.5513776845182821
ALLD3,-0.5426242712258116
MILS3,-0.5398953444267602
CURY3,-0.5384069889603312
RAPT4,-0.538405063505479
TEKA4,-0.5383782860759445
PINE4,-0.5307853169212498
DIRR3,-0.5301981588633022
ENEV3,-0.5185398300465864
