ticker,delta_selic_lag
AMBP3,-6.127562462064116
AVLL3,-3.3099064026240486
LIXC4,-3.0408187003880887
NORD3,-2.939586117864726
ENJU3,-2.56979491687216
PDGR3,-2.3525101840156646
CTAX3,-2.3096034262825085
DTCY3,-2.1456911459064933
ESPA3,-2.1363507729533557
OIBR3,-1.896410898082045
RCSL3,-1.8588480311398747
TERI3,-1.825718675244585
SMLS3,-1.8214918441819827
NUTR3,-1.7398767452974357
OGXP3,-1.6993705709135034
AEDU3,-1.66116247350132
CEAB3,-1.6268505284982817
IMCH3,-1.626060883245628
MMXM3,-1.5882961485462652
ARND3,-1.5286896263886331
ALPK3,-1.509298754923542
DOTZ3,-1.4182217820076917
IFCM3,-1.416326635645512
BRIT3,-1.4019691883198273
TOYB4,-1.3745727679395543
NTCO3,-1.3627334901574877
CASH3,-1.3623285911720382
RSID3,-1.356817309117681
AZUL4,-1.3442604614691793
AMER3,-1.3214274751804138
AZEV4,-1.2856399973981711
TASA4,-1.2683314868087843
DESK3,-1.2409237442714487
TRAD3,-1.2368164459800695
SPRI3,-1.2330621557317647
BEMA3,-1.2117241695920673
IRBR3,-1.1950999257613832
WLMM4,-1.1945756039599402
CTNM4,-1.186494133786159
FRIO3,-1.1710706757428115
BHIA3,-1.1449877227978942
CRPG5,-1.1281508705995877
RLOG3,-1.1199633729279643
TOKY3,-1.1149209727397744
SLED4,-1.084949456824493
LCAM3,-1.0588689518080154
CVCB3,-1.0467159234095438
CTSA4,-1.0454674363731977
USIM5,-1.041132783623534
BALM4,-1.0358557272169662
BIOM3,-1.0018208673406237
AMAR3,-0.998379694890581
TEND3,-0.9915114620436798
INEP4,-0.9623565026835268
OMGE3,-0.9562323631641887
IDVL4,-0.9318597672515175
OPCT3,-0.9111816015718056
TPIS3,-0.9060993553298032
LUPA3,-0.9013736571725758
MGLU3,-0.9001737693919598
MAGG3,-0.8891544900687838
GOLL4,-0.8857783748535825
SGPS3,-0.8797553428703603
MLAS3,-0.874760324869909
FIBR3,-0.8650928362723095
SBFG3,-0.8375379498002697
ENMT4,-0.8317822843896298
BNBR3,-0.7919806790183399
BOBR4,-0.7736847321535347
UNIP6,-0.7691957178138308
PEAB4,-0.7444394744074345
POSI3,-0.7277858825506298
MBRF3,-0.7062725959608598
PMAM3,-0.7052057478263604
VIVR3,-0.696336539682942
CTKA4,-0.6957910812201417
CEDO4,-0.6928895644575035
AMIL3,-0.6842466420529022
NEXP3,-0.6804922246060796
GFSA3,-0.6764655098487443
DMVF3,-0.6611725107712515
PDTC3,-0.6507320887113902
FICT3,-0.6465511382720285
HAPV3,-0.6381759248856682
TXRX4,-0.6375370669931523
MWET4,-0.624961160462787
BPAN4,-0.6171936506027405
LJQQ3,-0.606166417782875
BPHA3,-0.5981815683895163
CBEE3,-0.5858542522079768
EALT4,-0.5723173117020341
GOAU4,-0.5630035453486698
TRIS3,-0.5600817658808439
WDCN3,-0.5516514143739554
ALLD3,-0.5494491946819502
BRKM5,-0.5491997681970738
PTBL3,-0.547121000710328
ESTR4,-0.5221948825676974
BSLI3,-0.5142910651421521
PRVI3,-0.5093375311844384
ETER3,-0.48220850903535245
CREM3,-0.47965175961288514
YDUQ3,-0.4795667981204738
