ano_mes,data,ibov,ret_ibov,ipca,dolar,selic,ibc_br,var_dolar,delta_selic,delta_ipca,ibc_var
2003-02,2003-02-28,10281.0,-0.06221966893407149,1.57,3.5908,25.68,71.72228,0.04336877199428746,0.620000000000001,-0.6799999999999999,0.016812889125551678
2003-03,2003-03-31,11274.0,0.09220165809880143,1.23,3.4469,26.32,71.37508,-0.04089974252045914,0.6400000000000006,-0.3400000000000001,-0.004840894628558967
2003-04,2003-04-30,12557.0,0.10777908934744396,0.97,3.1187,26.32,70.86834,-0.10005902805488875,0.0,-0.26,-0.007099676805966348
2003-06,2003-06-30,12973.0,-0.034024877147171395,-0.15,2.8832,26.09,70.29779,-0.02483472100579731,-0.21999999999999886,-0.76,0.001982219744031788
2003-07,2003-07-31,13572.0,0.04513857233310681,0.2,2.8798,25.36,69.44384,-0.0011799411398487614,-0.7300000000000004,0.35,-0.012147608054250525
2003-09,2003-09-30,16011.0,0.05369254910403498,0.78,2.9228,21.02,71.50541,-0.026903214037075962,-2.4800000000000004,0.44,0.021762173482376523
2003-10,2003-10-31,17982.0,0.11609527154266353,0.29,2.8615,19.54,71.53661,-0.02119609806790579,-1.4800000000000004,-0.49000000000000005,0.000436330621697012
2004-03,2004-03-31,22142.0,0.017632641264631488,0.47,2.9055,16.19,74.30563,-0.008499314333046959,-0.10999999999999943,-0.14,0.011505513920895716
2004-04,2004-04-30,19607.0,-0.12158961210399077,0.37,2.906,15.96,74.72688,0.00017207261506801963,-0.23000000000000043,-0.09999999999999998,0.005669153198754939
2004-05,2004-05-31,19545.0,-0.0031671460883657687,0.51,3.1004,15.77,74.63731,0.06475357027712803,-0.19000000000000128,0.14,-0.0011986316035139666
2004-06,2004-06-30,21149.0,0.07887312380569433,0.71,3.1291,15.8,75.24325,0.009214287843206659,0.030000000000001137,0.19999999999999996,0.008118459789078658
2004-08,2004-08-31,22803.0,0.020647609900592556,0.69,3.0029,15.86,75.90818,-0.011225841020036986,0.08999999999999986,-0.22000000000000008,0.004523973113948143
2004-09,2004-09-30,23245.0,0.019197948890534278,0.33,2.8911,16.09,76.70298,-0.037941435870220364,0.23000000000000043,-0.35999999999999993,0.0104705448082143
