ano_mes,data,ibov,ret_ibov
2003-02,2003-02-28,10281.0,-0.06221966893407149
2003-03,2003-03-31,11274.0,0.09220165809880143
2003-04,2003-04-30,12557.0,0.10777908934744396
2003-05,2003-05-30,13422.0,0.06661687272922023
2003-06,2003-06-30,12973.0,-0.034024877147171395
2003-07,2003-07-31,13572.0,0.04513857233310681
2003-08,2003-08-29,15174.0,0.11157458999390002
2003-09,2003-09-30,16011.0,0.05369254910403498
2003-10,2003-10-31,17982.0,0.11609527154266353
2003-11,2003-11-28,20184.0,0.11551895377617605
2003-12,2003-12-30,22236.0,0.09682238575246593
2004-01,2004-01-30,21851.0,-0.01746591000649289
2004-02,2004-02-27,21755.0,-0.004403070912086804
2004-03,2004-03-31,22142.0,0.017632641264631488
2004-04,2004-04-30,19607.0,-0.12158961210399077
2004-05,2004-05-31,19545.0,-0.0031671460883657687
2004-06,2004-06-30,21149.0,0.07887312380569433
2004-07,2004-07-30,22337.0,0.05465187330080745
2004-08,2004-08-31,22803.0,0.020647609900592556
2004-09,2004-09-30,23245.0,0.019197948890534278
2004-10,2004-10-29,23052.0,-0.008337521568126505
2004-11,2004-11-30,25128.0,0.08623022866192542
2004-12,2004-12-30,26196.0,0.041623965119461204
2005-01,2005-01-31,24351.0,-0.0730338109086599
2005-02,2005-02-28,28139.0,0.1445835980049548
2005-03,2005-03-31,26611.0,-0.05583185031141369
2005-04,2005-04-29,24844.0,-0.068708389443632
2005-05,2005-05-31,25207.0,0.01450545902499556
2005-06,2005-06-30,25051.0,-0.006207986828286494
2005-07,2005-07-29,26042.0,0.038796872412770966
2005-08,2005-08-31,28045.0,0.07409974365376293
2005-09,2005-09-30,31584.0,0.1188403002907723
2005-10,2005-10-31,30194.0,-0.045007434105526656
2005-11,2005-11-30,31917.0,0.05549555405679385
2005-12,2005-12-29,33456.0,0.04709235948393875
2006-01,2006-01-31,38383.0,0.1373835105498049
2006-02,2006-02-24,38610.0,0.005896657040063147
2006-03,2006-03-31,37952.0,-0.01718910690088471
2006-04,2006-04-28,40363.0,0.061591320368545865
2006-05,2006-05-31,36530.0,-0.09977968293661554
2006-06,2006-06-30,36631.0,0.0027610356381924106
2006-07,2006-07-31,37077.0,0.012101954830324502
2006-08,2006-08-31,36232.0,-0.023054125021795713
2006-09,2006-09-29,36449.0,0.005971316982162023
2006-10,2006-10-31,39263.0,0.0743685763454387
2006-11,2006-11-30,41932.0,0.06576665900881373
2006-12,2006-12-28,44474.0,0.058855490166912716
2007-01,2007-01-31,44642.0,0.0037703711795806782
2007-02,2007-02-28,43892.0,-0.016943048808267136
2007-03,2007-03-30,45805.0,0.042661184338617986
2007-04,2007-04-30,48956.0,0.06652868005292056
2007-05,2007-05-31,52268.0,0.06546239360680772
2007-06,2007-06-29,54392.0,0.03983275509725814
2007-07,2007-07-31,54183.0,-0.0038498781145221983
2007-08,2007-08-31,54637.0,0.008344102813948595
2007-09,2007-09-28,60465.0,0.10135337631365537
2007-10,2007-10-31,65318.0,0.07720296390269965
2007-11,2007-11-30,63006.0,-0.036037689188027855
2007-12,2007-12-28,63886.0,0.013870285095578083
2008-01,2008-01-31,59490.0,-0.0712920138476747
2008-02,2008-02-29,63489.0,0.06505843134661227
2008-03,2008-03-31,60968.0,-0.04051752618260984
2008-04,2008-04-30,67868.0,0.10721550581687644
2008-05,2008-05-30,72593.0,0.06730385626869051
