ano_mes,segmento,ret_segmento,n_empresas,data
2010-02,Acessórios,0.0,1,2010-02-28
2010-02,Agricultura,-0.03003161753707447,3,2010-02-28
2010-02,Alimentos Diversos,0.0016300190243747625,2,2010-02-28
2010-02,Aluguel de carros,-0.0019116898627502543,1,2010-02-28
2010-02,Armas e Munições,-0.023656528791283993,1,2010-02-28
2010-02,Artefatos de Cobre,0.2152357866625607,1,2010-02-28
2010-02,Artefatos de Ferro e Aço,-0.011594419813680146,7,2010-02-28
2010-02,Automóveis e Motocicletas,-0.004789168186713599,2,2010-02-28
2010-02,Açucar e Alcool,-0.0643417123431318,1,2010-02-28
2010-02,Bancos,0.015148459585970267,21,2010-02-28
2010-02,Bicicletas,-0.1507180689689731,1,2010-02-28
2010-02,Brinquedos e Jogos,0.19670058975743698,1,2010-02-28
2010-02,Calçados,0.05217130213112022,3,2010-02-28
2010-02,Carnes e Derivados,-0.019137101988243366,5,2010-02-28
2010-02,Computadores e Equipamentos,-0.027649082665564872,3,2010-02-28
2010-02,Eletrodomésticos,-0.012736102394900778,1,2010-02-28
2010-02,Embalagens,0.1651393439352641,2,2010-02-28
2010-02,Energia Elétrica,-0.0008971925786506207,26,2010-02-28
2010-02,Engenharia Consultiva,0.19124571759550507,2,2010-02-28
2010-02,Equipamentos,-0.054704510395849115,1,2010-02-28
2010-02,Equipamentos e Serviços,-0.07811735708796519,1,2010-02-28
2010-02,Exploração de Imóveis,0.04570386619063373,10,2010-02-28
2010-02,Exploração de Rodovias,-0.04401171063915854,2,2010-02-28
2010-02,"Exploração, Refino e Distribuição",0.016218465889914862,3,2010-02-28
2010-02,Fertilizantes e Defensivos,-0.029756272759733065,3,2010-02-28
2010-02,Fios e Tecidos,0.06992154351929482,14,2010-02-28
2010-02,Gás,0.0064846047560935816,1,2010-02-28
2010-02,Holdings Diversificadas,0.00907557045898233,3,2010-02-28
2010-02,Hotelaria,0.7965827678081872,1,2010-02-28
2010-02,Incorporações,0.021446507214611058,22,2010-02-28
2010-02,Intermediação Imobiliária,0.09200848713879894,2,2010-02-28
2010-02,Linhas Aéreas de Passageiros,0.016166768357365413,2,2010-02-28
2010-02,Madeira,0.0327293261524203,2,2010-02-28
2010-02,Materiais Diversos,-0.021508055518907998,1,2010-02-28
2010-02,Material Aeronáutico e de Defesa,-0.01765903757115206,1,2010-02-28
2010-02,Material Rodoviário,0.03339840352553105,6,2010-02-28
2010-02,Medicamentos e Outros Produtos,-0.00991909209008246,4,2010-02-28
2010-02,Minerais Metálicos,0.0931043281030975,3,2010-02-28
2010-02,"Motores , Compressores e Outros",0.06287090141376397,2,2010-02-28
2010-02,Máq. e Equip. Construção e Agrícolas,-0.0012474461236959833,1,2010-02-28
2010-02,Máq. e Equip. Industriais,-0.0018871840741902328,6,2010-02-28
2010-02,Outros,-0.03637967714121415,2,2010-02-28
2010-02,Papel e Celulose,-0.037656719438005304,1,2010-02-28
2010-02,Petroquímicos,0.021869108687480886,6,2010-02-28
2010-02,Produtos Diversos,-0.004550119291318063,3,2010-02-28
2010-02,Produtos de Cuidado Pessoal,-0.018989695555806207,1,2010-02-28
2010-02,Produtos de Limpeza,0.02123222010577397,1,2010-02-28
2010-02,Produtos para Construção,0.031266207668110585,3,2010-02-28
2010-02,Programas e Serviços,-0.012363194130855626,4,2010-02-28
2010-02,Químicos Diversos,-0.04212069765829718,1,2010-02-28
2010-02,Seguradoras,-0.05513400591020708,3,2010-02-28
2010-02,"Serv.Méd.Hospit.,Análises e Diagnósticos",0.022372546602107652,6,2010-02-28
2010-02,Serviços Diversos,0.5447979811084958,2,2010-02-28
2010-02,Serviços Educacionais,0.0,2,2010-02-28
2010-02,Serviços Financeiros Diversos,-0.030262267389879655,3,2010-02-28
2010-02,Serviços de Apoio e Armazenagem,0.198450938723838,1,2010-02-28
2010-02,Siderurgia,0.04243060464642513,5,2010-02-28
2010-02,Soc. Crédito e Financiamento,0.0284093569991547,2,2010-02-28
2010-02,"Tecidos, Vestuário e Calçados",-0.024171085737285825,4,2010-02-28
2010-02,Telecomunicações,0.26968109766336745,1,2010-02-28
2010-02,Transporte Hidroviário,0.012696761988512634,2,2010-02-28
2010-02,Transporte Rodoviário,-0.09504117409220769,1,2010-02-28
2010-02,Utensílios Domésticos,0.08004270767353638,1,2010-02-28
2010-02,Vestuário,0.11747781966151276,3,2010-02-28
2010-02,Água e Saneamento,-0.021273655875949316,2,2010-02-28
2010-03,Acessórios,-0.09097177820572666,1,2010-03-31
2010-03,Agricultura,-0.10589808971787949,3,2010-03-31
2010-03,Alimentos Diversos,0.03535584754790089,2,2010-03-31
2010-03,Aluguel de carros,-0.04755064612838367,1,2010-03-31
2010-03,Armas e Munições,-0.020391497813983417,1,2010-03-31
