ano_mes,setor,ret_setor,n_empresas,data
2010-02,Bens Industriais,0.05972642285958886,32,2010-02-28
2010-02,Comunicações,0.26968109766336745,1,2010-02-28
2010-02,Consumo Cíclico,0.04579532166975802,60,2010-02-28
2010-02,Consumo não Cíclico,-0.018816885561296518,13,2010-02-28
2010-02,Financeiro,0.017887043021916068,44,2010-02-28
2010-02,Materiais Básicos,0.03006057990356445,32,2010-02-28
2010-02,Outros,-0.03637967714121415,2,2010-02-28
2010-02,"Petróleo, Gás e Biocombustíveis",-0.007365489854555152,4,2010-02-28
2010-02,Saúde,0.003623127350587906,11,2010-02-28
2010-02,Tecnologia da Informação,-0.01891428921715959,7,2010-02-28
2010-02,Utilidade Pública,-0.002047921173817972,29,2010-02-28
2010-03,Bens Industriais,-0.027003408922877666,32,2010-03-31
2010-03,Comunicações,-0.5051170938623901,1,2010-03-31
2010-03,Consumo Cíclico,-0.007744637594775942,60,2010-03-31
2010-03,Consumo não Cíclico,-0.007253691267076718,13,2010-03-31
2010-03,Financeiro,0.021674702673457048,47,2010-03-31
2010-03,Materiais Básicos,-0.0032467771373317043,32,2010-03-31
2010-03,Outros,-0.19152109506364012,2,2010-03-31
2010-03,"Petróleo, Gás e Biocombustíveis",-0.06581435906861204,5,2010-03-31
2010-03,Saúde,0.012439335358275167,11,2010-03-31
2010-03,Tecnologia da Informação,-0.005309053585717681,7,2010-03-31
2010-03,Utilidade Pública,0.02521506479202386,30,2010-03-31
2010-04,Bens Industriais,-0.026863750825302304,33,2010-04-30
2010-04,Comunicações,0.3351524194193214,1,2010-04-30
2010-04,Consumo Cíclico,-0.028502432019129165,58,2010-04-30
2010-04,Consumo não Cíclico,-0.017967939506999927,13,2010-04-30
2010-04,Financeiro,-0.03910727713599841,48,2010-04-30
2010-04,Materiais Básicos,-0.0634572507825216,31,2010-04-30
2010-04,Outros,-0.06410364133334245,2,2010-04-30
2010-04,"Petróleo, Gás e Biocombustíveis",-0.02520852600758276,6,2010-04-30
2010-04,Saúde,-0.013885766225413987,10,2010-04-30
2010-04,Tecnologia da Informação,0.003054317264897038,7,2010-04-30
2010-04,Utilidade Pública,-0.010730397060470007,31,2010-04-30
2010-05,Bens Industriais,-0.06922450071623848,34,2010-05-31
2010-05,Comunicações,-0.21048817232426842,1,2010-05-31
2010-05,Consumo Cíclico,-0.05510833579018658,58,2010-05-31
2010-05,Consumo não Cíclico,-0.09549786551688812,14,2010-05-31
2010-05,Financeiro,-0.0597518655485113,49,2010-05-31
2010-05,Materiais Básicos,-0.10626657111239973,32,2010-05-31
2010-05,Outros,-0.034606916460414805,2,2010-05-31
2010-05,"Petróleo, Gás e Biocombustíveis",-0.11571962295802507,6,2010-05-31
2010-05,Saúde,-0.02470079759108825,11,2010-05-31
2010-05,Tecnologia da Informação,-0.03963213533104477,7,2010-05-31
2010-05,Utilidade Pública,-0.03406051390739647,28,2010-05-31
2010-06,Bens Industriais,0.02259991125102242,35,2010-06-30
2010-06,Comunicações,-0.10406188341824496,1,2010-06-30
2010-06,Consumo Cíclico,0.01962994677752511,60,2010-06-30
2010-06,Consumo não Cíclico,-0.006430081674191838,14,2010-06-30
2010-06,Financeiro,0.0017341825955677537,47,2010-06-30
2010-06,Materiais Básicos,0.011516984207233415,32,2010-06-30
2010-06,Outros,-0.11310787517559007,2,2010-06-30
2010-06,"Petróleo, Gás e Biocombustíveis",0.08478811467244918,6,2010-06-30
2010-06,Saúde,0.03523201525376594,10,2010-06-30
2010-06,Tecnologia da Informação,0.006063172908722095,7,2010-06-30
2010-06,Utilidade Pública,0.03631716894842353,29,2010-06-30
2010-07,Bens Industriais,0.0595667213894459,34,2010-07-31
2010-07,Comunicações,0.06599277384669922,1,2010-07-31
2010-07,Consumo Cíclico,0.10474672359674923,58,2010-07-31
2010-07,Consumo não Cíclico,0.031126764231598467,14,2010-07-31
