ticker,empresa_base,volume_total
AALR3,AALR,12134043683.0
ABCB4,ABCB,32099373829.0
ABEV3,ABEV,989915968245.0
ABYA3,ABYA,187890527.0
ADHM3,ADHM,116413671.0
ADMF3,ADMF,2875636.0
AEDU3,AEDU,33736834938.0
AELP3,AELP,167965031.0
AERI3,AERI,15471426828.0
AFLT3,AFLT,52250395.0
AFLU3,AFLU,1351248.0
AGEI3,AGEI,2398650265.0
AGIN3,AGIN,555833422.0
AGRO3,AGRO,18917536307.0
AGXY3,AGXY,816057278.0
AHEB3,AHEB,7831955.0
ALLD3,ALLD,2654646272.0
ALOS3,ALOS,112332203209.0
ALPA4,ALPA,108175277747.0
ALPK3,ALPK,936242745.0
ALSC3,ALSC,17613793568.0
ALUP11,ALUP,50739065065.0
AMAR3,AMAR,38223080060.0
AMBP3,AMBP,42217486390.0
AMBV4,AMBV,93063736112.0
AMER3,AMER,323521877521.0
AMIL3,AMIL,12433736746.0
AMOB3,AMOB,895343071.0
AMPI3,AMPI,240013.0
ANIM3,ANIM,45642211548.0
APER3,APER,9769084535.0
APTI4,APTI,2127500.0
ARML3,ARML,9535259364.0
ARND3,ARND,1551735868.0
ARTR3,ARTR,11343662240.0
ASAI3,ASAI,214095057758.0
ATED3,ATED,17051353.0
AURE3,AURE,48709189326.0
AUTM3,AUTM,2601523813.0
AVLL3,AVLL,113968272.0
AXIA3,AXIA,582485868707.0
AZEV4,AZEV,4425565106.0
AZTE3,AZTE,582569127.0
AZUL4,AZUL,336219576274.0
AZZA3,AZZA,144980425150.0
B3SA3,B3SA,1009152407326.0
BALM4,BALM,42062403.0
BAUH4,BAUH,105763624.0
BAZA3,BAZA,719106595.0
BBAS3,BBAS,1441077528029.0
BBDC4,BBDC,1872939856040.0
BBSE3,BBSE,442698585235.0
BDLL4,BDLL,164683867.0
BEEF3,BEEF,154148233531.0
BEES3,BEES,589206347.0
BEMA3,BEMA,1340404842.0
BGIP4,BGIP,116480384.0
BHGR3,BHGR,2196970251.0
BHIA3,BHIA,535143681311.0
BICB4,BICB,2099709963.0
BIDI11,BIDI,135602096487.0
BIED3,BIED,159671016.0
BIOM3,BIOM,913479531.0
BISA3,BISA,19962135203.0
BLAU3,BLAU,9696516378.0
BLUT4,BLUT,1046814445.0
BMEB4,BMEB,709068966.0
BMGB4,BMGB,7220860341.0
BMIN4,BMIN,140410258.0
BMKS3,BMKS,65853969.48
BMOB3,BMOB,11928230519.0
BMTO4,BMTO,99621780.0
BNBR3,BNBR,44838716.0
BOAS3,BOAS,8834370231.0
BOBR4,BOBR,732273680.0
BPAC11,BPAC,501621043881.0
BPAN4,BPAN,64275521225.0
BPAR3,BPAR,78607.0
BPHA3,BPHA,6025426348.0
