subsetor,delta_ipca_lag,delta_selic_lag,ibc_var_lag,var_dolar_lag
Agropecuária,-0.023885427871966666,-0.022537591886141694,0.6676762794822676,-0.3392358138770545
Alimentos Processados,0.02250847188716939,-0.024048793558928635,-0.37555716158743724,-0.5163756179732449
Automóveis e Motocicletas,-0.02916225537110606,-0.03642857601257138,0.3275604406443068,-1.1397288825166803
Bebidas,-0.020369502575423856,0.008085054376970711,-0.784918480605284,-0.47271213982134386
Computadores e Equipamentos,-0.06877086448782695,-0.049304942154698855,-1.0172994529244896,-1.3009672786270006
Comércio Varejista,-0.030214884703082968,-0.05546160770613885,0.16471437200148387,-1.4039447425628069
Comércio e Distribuição,-0.0071047793271929085,-0.03321621759386868,-0.6076878046647152,-0.8711162388024933
Construção Civil,0.036769415371156675,-0.05263231337978118,0.7089266217567415,-1.44874485062225
Construção e Engenharia,-0.04042589382237273,-0.03190454871656041,0.7030905083682977,-1.1491616863370204
Diversos,-0.012712974578183482,-0.04169030463441307,0.391236920453523,-1.2082912269400716
Embalagens,-0.036772751682485755,-0.0268143398868875,0.6279878892173656,-1.02997265277641
Energia Elétrica,0.011331337279596485,-0.013830360447439856,0.21742639456723778,-0.595414772279972
Equipamentos,0.05167964555662135,-0.02897713537278869,1.3369364517003344,-0.5693258400608138
Exploração de Imóveis,0.03518449385847001,-0.037523750604350384,0.46430915788897825,-0.9670743794147864
Gás,0.0402184137720315,-0.011418033509682157,0.9951881387900424,-0.2544414153679389
Holdings Diversificadas,-0.024103174197916105,-0.03191137640683273,0.32882411790273425,-0.7477950045403235
Hoteis e Restaurantes,0.03347289992916758,-0.04479783116620078,0.26884475379865314,-1.2151638880014521
Intermediários Financeiros,-0.009534040576129263,-0.027777833706534766,0.4439144846027756,-0.8966189117031351
Madeira e Papel,-0.02253170223327988,-0.047451457021023935,0.2981132918740734,-0.34499171079833757
Materiais Diversos,-0.057669185265409255,-0.0758386185356405,-2.6885955764597305,-1.4768654755324864
Material de Transporte,-0.03738056816694818,-0.03863551737117727,0.8163094864004807,-0.6789736695777995
Medicamentos e Outros Produtos,0.022710933337320407,-0.041706942115656974,0.7949213762167875,0.5768669768827821
Mineração,0.022530156292689233,-0.04077268564825903,1.3515738905472015,-0.6950533952094624
Máquinas e Equipamentos,-0.013705602874226074,-0.04722042260779598,0.6805072054763814,-0.7999712661175977
Outros,-0.10563237310344209,-0.037661383548857855,-2.209800217307009,0.5029245439063644
"Petróleo, Gás e Biocombustíveis",0.021901385850265125,-0.041853153603928786,0.537758002415134,-1.3394931566040496
Previdência e Seguros,0.012164299448640734,-0.02693326431582323,0.5651504010718192,-0.7203426256843976
Produtos de Cuidado Pessoal e de Limpeza,-0.03291345352076566,-0.07902807171155721,-0.45495901338487055,-1.2552633929415253
Programas e Serviços,-0.04308801163151784,-0.056428889791670045,0.12914146796399967,-0.6825975973598893
Químicos,-0.03175905229452197,-0.05106443457388217,-0.6857180160649129,-0.7539914141007727
"Serv.Méd.Hospit.,Análises e Diagnósticos",-0.014908341733529127,-0.033769186630440026,-0.33582058520084346,-0.7137219964985015
Serviços,-0.06225292844451074,-0.043028627866402165,0.37578383544544713,-1.1827254552977733
Serviços Financeiros Diversos,-0.03530121299899877,-0.04751660333434633,0.3654715154391525,-0.8821906395967276
Siderurgia e Metalurgia,0.022678146099385177,-0.03625942358982939,0.20571649240845102,-1.017122068596914
"Tecidos, Vestuário e Calçados",0.020489468749111762,-0.02970375566408853,0.6097918256637103,-1.0662323733073549
Telecomunicações,-0.018796603871973277,-0.07999296440424367,-1.336239541558728,-0.845390636368825
Transporte,-0.03427811952327855,-0.04582589958965794,0.5837595823051892,-1.3494224800189456
Utilidades Domésticas,-0.026753551302122022,-0.049889908690932946,0.7360135129206793,-0.8225323428050084
Viagens e Lazer,-0.03398493585276571,-0.0326385925136308,0.5137003715341856,-1.1499951939872115
Água e Saneamento,0.040574170627572854,-0.03624900452438696,-0.8534350384880449,-0.8887936945650912
