subsetor,variavel,correlacao
Agropecuária,delta_selic,-0.006109301608604626
Agropecuária,delta_ipca,0.044425125585110935
Agropecuária,var_dolar,-0.18388161661313696
Agropecuária,ibc_var,0.1097391512992446
Alimentos Processados,delta_selic,-0.12383978599234972
Alimentos Processados,delta_ipca,-0.1251141715855845
Alimentos Processados,var_dolar,-0.2851690918187198
Alimentos Processados,ibc_var,0.03947217586411882
Automóveis e Motocicletas,delta_selic,-0.03833533551735304
Automóveis e Motocicletas,delta_ipca,-0.07181025333334375
Automóveis e Motocicletas,var_dolar,-0.4119673062084517
Automóveis e Motocicletas,ibc_var,0.06392537660302743
Bebidas,delta_selic,0.04825662918470777
Bebidas,delta_ipca,0.03564297713375677
Bebidas,var_dolar,-0.2715363142757257
Bebidas,ibc_var,0.199876138231736
Computadores e Equipamentos,delta_selic,-0.06872639362819682
Computadores e Equipamentos,delta_ipca,0.034164178888435724
Computadores e Equipamentos,var_dolar,-0.32735495525048375
Computadores e Equipamentos,ibc_var,0.025761594597951104
Comércio Varejista,delta_selic,-0.17175010374107147
Comércio Varejista,delta_ipca,-0.09660676170335548
Comércio Varejista,var_dolar,-0.4886296439099385
Comércio Varejista,ibc_var,0.147883092849583
Comércio e Distribuição,delta_selic,-0.14537617900868136
Comércio e Distribuição,delta_ipca,-0.03529354571173023
Comércio e Distribuição,var_dolar,-0.4219867827240891
Comércio e Distribuição,ibc_var,0.07334465663183018
Construção Civil,delta_selic,-0.12147652835555775
Construção Civil,delta_ipca,-0.058582152524595456
Construção Civil,var_dolar,-0.4841301628308435
Construção Civil,ibc_var,0.1978173189891918
Construção e Engenharia,delta_selic,-0.04280737975236229
Construção e Engenharia,delta_ipca,-0.020879290061411145
Construção e Engenharia,var_dolar,-0.37959924996753497
Construção e Engenharia,ibc_var,0.1847022155214798
Diversos,delta_selic,-0.11160731652889025
Diversos,delta_ipca,-0.07100454633855437
Diversos,var_dolar,-0.3853797272199444
Diversos,ibc_var,0.1399091043677583
Embalagens,delta_selic,0.024647477374852615
Embalagens,delta_ipca,0.02885412908769303
Embalagens,var_dolar,-0.33611459172275765
Embalagens,ibc_var,0.16803734061900047
Energia Elétrica,delta_selic,-0.06719783985227605
Energia Elétrica,delta_ipca,-0.05810563095715522
Energia Elétrica,var_dolar,-0.46749725917878304
Energia Elétrica,ibc_var,0.1700431816366218
Equipamentos,delta_selic,-0.014812971849304931
Equipamentos,delta_ipca,-0.047484241470774874
Equipamentos,var_dolar,-0.14327231894311568
Equipamentos,ibc_var,0.18638905614211324
Exploração de Imóveis,delta_selic,-0.1434483342289526
Exploração de Imóveis,delta_ipca,0.005385880897151483
Exploração de Imóveis,var_dolar,-0.4963853945664455
Exploração de Imóveis,ibc_var,0.20491280606669632
Gás,delta_selic,-0.04266179117096526
Gás,delta_ipca,0.012778620156557561
Gás,var_dolar,-0.11990258967672228
Gás,ibc_var,0.18554886342247892
Holdings Diversificadas,delta_selic,-0.029944803586619866
