variavel,lag,correlacao,subsetor
delta_selic,0,-0.006109301608604626,Agropecuária
delta_selic,1,-0.03950162724360989,Agropecuária
delta_selic,2,-0.003939715342919093,Agropecuária
delta_selic,3,-0.011832582748482305,Agropecuária
delta_selic,4,-0.09871087689059431,Agropecuária
delta_selic,5,-0.0005281168184850097,Agropecuária
delta_selic,6,-0.0571965044947912,Agropecuária
delta_ipca,0,0.044425125585110935,Agropecuária
delta_ipca,1,0.07254203906203495,Agropecuária
delta_ipca,2,-0.004588923942745274,Agropecuária
delta_ipca,3,-0.11644782130382796,Agropecuária
delta_ipca,4,0.011307248103588399,Agropecuária
delta_ipca,5,0.05079312897751382,Agropecuária
delta_ipca,6,0.06403807155353307,Agropecuária
var_dolar,0,-0.18388161661313696,Agropecuária
var_dolar,1,0.14195147039744674,Agropecuária
var_dolar,2,0.036361974188819264,Agropecuária
var_dolar,3,0.09422605640625704,Agropecuária
var_dolar,4,0.10282079794537088,Agropecuária
var_dolar,5,-0.10759362158853167,Agropecuária
var_dolar,6,-0.019463081041612096,Agropecuária
ibc_var,0,0.1097391512992446,Agropecuária
ibc_var,1,-0.028034154478671795,Agropecuária
ibc_var,2,-0.0862031479211381,Agropecuária
ibc_var,3,-0.019687972396125623,Agropecuária
ibc_var,4,0.1389222706140498,Agropecuária
ibc_var,5,0.0669560674347779,Agropecuária
ibc_var,6,0.0546218017015649,Agropecuária
delta_selic,0,-0.12383978599234972,Alimentos Processados
delta_selic,1,-0.08341073417492513,Alimentos Processados
delta_selic,2,-0.09519367260893481,Alimentos Processados
delta_selic,3,-0.06668993781241928,Alimentos Processados
delta_selic,4,-0.016591335501410415,Alimentos Processados
delta_selic,5,-0.08542949660707327,Alimentos Processados
delta_selic,6,-0.08307839955435871,Alimentos Processados
delta_ipca,0,-0.1251141715855845,Alimentos Processados
delta_ipca,1,0.019960113468234154,Alimentos Processados
delta_ipca,2,0.05405335712857471,Alimentos Processados
delta_ipca,3,-0.14224439286603285,Alimentos Processados
delta_ipca,4,0.053296957421108494,Alimentos Processados
delta_ipca,5,-0.05171798945578783,Alimentos Processados
delta_ipca,6,0.14794463679190784,Alimentos Processados
var_dolar,0,-0.2851690918187198,Alimentos Processados
var_dolar,1,-0.05457889520929721,Alimentos Processados
var_dolar,2,0.018498458465694704,Alimentos Processados
var_dolar,3,0.08254502642480278,Alimentos Processados
var_dolar,4,0.07428040257824944,Alimentos Processados
var_dolar,5,0.08152449704738972,Alimentos Processados
var_dolar,6,-0.04752322685553118,Alimentos Processados
ibc_var,0,0.03947217586411882,Alimentos Processados
ibc_var,1,-0.03960791673329922,Alimentos Processados
ibc_var,2,-0.11122734259169408,Alimentos Processados
ibc_var,3,-0.06285432612388214,Alimentos Processados
ibc_var,4,0.0428933751428765,Alimentos Processados
ibc_var,5,-0.019291531664021956,Alimentos Processados
ibc_var,6,0.10210731321534355,Alimentos Processados
delta_selic,0,-0.03833533551735304,Automóveis e Motocicletas
