variavel,coef,pvalor,subsetor,r2
const,0.004015103719045589,0.41029214779628653,Agropecuária,0.07684649396463272
delta_ipca_lag,-0.023885427871966666,0.0880288054631264,Agropecuária,0.07684649396463272
delta_selic_lag,-0.022537591886141694,0.08363209549441364,Agropecuária,0.07684649396463272
ibc_var_lag,0.6676762794822676,0.08492723897937755,Agropecuária,0.07684649396463272
var_dolar_lag,-0.3392358138770545,0.017320111415413963,Agropecuária,0.07684649396463272
const,0.007699376093777514,0.08660097776658138,Alimentos Processados,0.1216239914236602
delta_ipca_lag,0.02250847188716939,0.08265252734898854,Alimentos Processados,0.1216239914236602
delta_selic_lag,-0.024048793558928635,0.0479256879959418,Alimentos Processados,0.1216239914236602
ibc_var_lag,-0.37555716158743724,0.28761159192078806,Alimentos Processados,0.1216239914236602
var_dolar_lag,-0.5163756179732449,8.852122517851337e-05,Alimentos Processados,0.1216239914236602
const,0.004933420521864504,0.4413678378454404,Automóveis e Motocicletas,0.20185789900327522
delta_ipca_lag,-0.02916225537110606,0.11282505003975914,Automóveis e Motocicletas,0.20185789900327522
delta_selic_lag,-0.03642857601257138,0.03373631352580616,Automóveis e Motocicletas,0.20185789900327522
ibc_var_lag,0.3275604406443068,0.5186877669675787,Automóveis e Motocicletas,0.20185789900327522
var_dolar_lag,-1.1397288825166803,5.052611698154527e-09,Automóveis e Motocicletas,0.20185789900327522
const,0.00455450371044111,0.3798556370996655,Bebidas,0.12804474830308732
delta_ipca_lag,-0.020369502575423856,0.14153561245471932,Bebidas,0.12804474830308732
delta_selic_lag,0.008085054376970711,0.5433886290804555,Bebidas,0.12804474830308732
ibc_var_lag,-0.784918480605284,0.036822146999836096,Bebidas,0.12804474830308732
var_dolar_lag,-0.47271213982134386,0.001230103706584639,Bebidas,0.12804474830308732
const,0.009891280891509783,0.2955918057744214,Computadores e Equipamentos,0.16280023736867144
delta_ipca_lag,-0.06877086448782695,0.011437529378909645,Computadores e Equipamentos,0.16280023736867144
delta_selic_lag,-0.049304942154698855,0.051907412232954406,Computadores e Equipamentos,0.16280023736867144
ibc_var_lag,-1.0172994529244896,0.1723463958152862,Computadores e Equipamentos,0.16280023736867144
var_dolar_lag,-1.3009672786270006,3.6427255077609585e-06,Computadores e Equipamentos,0.16280023736867144
const,0.006014223665882592,0.33284296809138847,Comércio Varejista,0.29655312079225604
delta_ipca_lag,-0.030214884703082968,0.08921291311239983,Comércio Varejista,0.29655312079225604
delta_selic_lag,-0.05546160770613885,0.0009475104474647428,Comércio Varejista,0.29655312079225604
ibc_var_lag,0.16471437200148387,0.7423683328962309,Comércio Varejista,0.29655312079225604
var_dolar_lag,-1.4039447425628069,9.75539983712677e-13,Comércio Varejista,0.29655312079225604
const,0.0022091451735792907,0.6318477862548498,Comércio e Distribuição,0.22488481444565667
delta_ipca_lag,-0.0071047793271929085,0.5907769560332476,Comércio e Distribuição,0.22488481444565667
delta_selic_lag,-0.03321621759386868,0.007742892870680981,Comércio e Distribuição,0.22488481444565667
ibc_var_lag,-0.6076878046647152,0.09587509785532072,Comércio e Distribuição,0.22488481444565667
var_dolar_lag,-0.8711162388024933,5.63362408775833e-10,Comércio e Distribuição,0.22488481444565667
const,-0.003201315437501778,0.6347626652373035,Construção Civil,0.2920181373318703
delta_ipca_lag,0.036769415371156675,0.057995686102790586,Construção Civil,0.2920181373318703
delta_selic_lag,-0.05263231337978118,0.004050630303446231,Construção Civil,0.2920181373318703
ibc_var_lag,0.7089266217567415,0.19093654578043448,Construção Civil,0.2920181373318703
var_dolar_lag,-1.44874485062225,8.73092960137391e-12,Construção Civil,0.2920181373318703
const,0.004213883045827179,0.5531715978434315,Construção e Engenharia,0.1945044932029768
delta_ipca_lag,-0.04042589382237273,0.04731075698881702,Construção e Engenharia,0.1945044932029768
delta_selic_lag,-0.03190454871656041,0.09414051424644201,Construção e Engenharia,0.1945044932029768
ibc_var_lag,0.7030905083682977,0.22250007072294226,Construção e Engenharia,0.1945044932029768
var_dolar_lag,-1.1491616863370204,1.3812827788032034e-07,Construção e Engenharia,0.1945044932029768
const,0.009789898231430307,0.18327807807493618,Diversos,0.17681712213815348
delta_ipca_lag,-0.012712974578183482,0.5442151929632354,Diversos,0.17681712213815348
delta_selic_lag,-0.04169030463441307,0.0341082975845573,Diversos,0.17681712213815348
ibc_var_lag,0.391236920453523,0.5095218508763135,Diversos,0.17681712213815348
var_dolar_lag,-1.2082912269400716,8.54999873781883e-08,Diversos,0.17681712213815348
const,0.004836215690639316,0.48853649344896166,Embalagens,0.17162792272353333
delta_ipca_lag,-0.036772751682485755,0.06349767939357133,Embalagens,0.17162792272353333
delta_selic_lag,-0.0268143398868875,0.14742076954418717,Embalagens,0.17162792272353333
ibc_var_lag,0.6279878892173656,0.26342837891486354,Embalagens,0.17162792272353333
var_dolar_lag,-1.02997265277641,1.2134716472414364e-06,Embalagens,0.17162792272353333
const,0.009358520679718103,0.002057213021181787,Energia Elétrica,0.24022101019938424
delta_ipca_lag,0.011331337279596485,0.1878886370858051,Energia Elétrica,0.24022101019938424
delta_selic_lag,-0.013830360447439856,0.08713421363225948,Energia Elétrica,0.24022101019938424
ibc_var_lag,0.21742639456723778,0.3665818262919851,Energia Elétrica,0.24022101019938424
var_dolar_lag,-0.595414772279972,1.9765171612380828e-10,Energia Elétrica,0.24022101019938424
const,0.01843828274615305,0.06900794925936693,Equipamentos,0.08494831888248089
delta_ipca_lag,0.05167964555662135,0.06819857714230902,Equipamentos,0.08494831888248089
delta_selic_lag,-0.02897713537278869,0.27258594192847646,Equipamentos,0.08494831888248089
ibc_var_lag,1.3369364517003344,0.08823145092734591,Equipamentos,0.08494831888248089
var_dolar_lag,-0.5693258400608138,0.04510024481943131,Equipamentos,0.08494831888248089
const,0.007267510436733602,0.09303646513153294,Exploração de Imóveis,0.32547289406070945
delta_ipca_lag,0.03518449385847001,0.004827479804110234,Exploração de Imóveis,0.32547289406070945
delta_selic_lag,-0.037523750604350384,0.0014016060982806765,Exploração de Imóveis,0.32547289406070945
ibc_var_lag,0.46430915788897825,0.18065583083346665,Exploração de Imóveis,0.32547289406070945
var_dolar_lag,-0.9670743794147864,1.3886208339467936e-12,Exploração de Imóveis,0.32547289406070945
const,0.0172056951694784,0.010917671772902026,Gás,0.06532452487602425
delta_ipca_lag,0.0402184137720315,0.038369802834400515,Gás,0.06532452487602425
delta_selic_lag,-0.011418033509682157,0.5238233587638019,Gás,0.06532452487602425
ibc_var_lag,0.9951881387900424,0.07310161997467532,Gás,0.06532452487602425
var_dolar_lag,-0.2544414153679389,0.2005011383663121,Gás,0.06532452487602425
const,0.003953854717315847,0.45593855857872356,Holdings Diversificadas,0.16007517787244174
delta_ipca_lag,-0.024103174197916105,0.1088117851010722,Holdings Diversificadas,0.16007517787244174
delta_selic_lag,-0.03191137640683273,0.02378121231203021,Holdings Diversificadas,0.16007517787244174
ibc_var_lag,0.32882411790273425,0.44026050807615147,Holdings Diversificadas,0.16007517787244174
var_dolar_lag,-0.7477950045403235,3.279408069542912e-06,Holdings Diversificadas,0.16007517787244174
const,-0.002674865824953186,0.7062501471941158,Hoteis e Restaurantes,0.20045744373951424
delta_ipca_lag,0.03347289992916758,0.10087940148533323,Hoteis e Restaurantes,0.20045744373951424
delta_selic_lag,-0.04479783116620078,0.01970543842449693,Hoteis e Restaurantes,0.20045744373951424
ibc_var_lag,0.26884475379865314,0.6370212731317549,Hoteis e Restaurantes,0.20045744373951424
var_dolar_lag,-1.2151638880014521,2.692439524154362e-08,Hoteis e Restaurantes,0.20045744373951424
const,0.014625987696742143,7.858310722174298e-05,Intermediários Financeiros,0.3319015829084667
delta_ipca_lag,-0.009534040576129263,0.3575151988208247,Intermediários Financeiros,0.3319015829084667
delta_selic_lag,-0.027777833706534766,0.004457968452057069,Intermediários Financeiros,0.3319015829084667
ibc_var_lag,0.4439144846027756,0.130733123955552,Intermediários Financeiros,0.3319015829084667
var_dolar_lag,-0.8966189117031351,1.3476219856752015e-14,Intermediários Financeiros,0.3319015829084667
const,0.008220152938658876,0.07638070601002785,Madeira e Papel,0.1191707599826648
delta_ipca_lag,-0.02253170223327988,0.08807891385643828,Madeira e Papel,0.1191707599826648
delta_selic_lag,-0.047451457021023935,0.00015389786600962613,Madeira e Papel,0.1191707599826648
ibc_var_lag,0.2981132918740734,0.4241075896501456,Madeira e Papel,0.1191707599826648
var_dolar_lag,-0.34499171079833757,0.012078697090885238,Madeira e Papel,0.1191707599826648
const,0.014739976260058556,0.2593159957625497,Materiais Diversos,0.13879699589644034
delta_ipca_lag,-0.057669185265409255,0.14390239096382018,Materiais Diversos,0.13879699589644034
delta_selic_lag,-0.0758386185356405,0.028833142002270627,Materiais Diversos,0.13879699589644034
ibc_var_lag,-2.6885955764597305,0.010547675606488473,Materiais Diversos,0.13879699589644034
var_dolar_lag,-1.4768654755324864,0.00010893512479538061,Materiais Diversos,0.13879699589644034
const,0.00546498826263587,0.3580829397695173,Material de Transporte,0.1588830074010713
delta_ipca_lag,-0.03738056816694818,0.026995123594380385,Material de Transporte,0.1588830074010713
delta_selic_lag,-0.03863551737117727,0.014726139770416346,Material de Transporte,0.1588830074010713
ibc_var_lag,0.8163094864004807,0.08841156675468223,Material de Transporte,0.1588830074010713
var_dolar_lag,-0.6789736695777995,0.0001405394493575651,Material de Transporte,0.1588830074010713
const,0.0009928313505041246,0.8874522634748645,Medicamentos e Outros Produtos,0.0856861758931774
delta_ipca_lag,0.022710933337320407,0.2690550695273405,Medicamentos e Outros Produtos,0.0856861758931774
delta_selic_lag,-0.041706942115656974,0.026971745794319952,Medicamentos e Outros Produtos,0.0856861758931774
ibc_var_lag,0.7949213762167875,0.1611205168369277,Medicamentos e Outros Produtos,0.0856861758931774
var_dolar_lag,0.5768669768827821,0.004931977176789126,Medicamentos e Outros Produtos,0.0856861758931774
const,-0.00586622436129706,0.49057037748021515,Mineração,0.08699088042182324
delta_ipca_lag,0.022530156292689233,0.35523130922215573,Mineração,0.08699088042182324
delta_selic_lag,-0.04077268564825903,0.07305069719195455,Mineração,0.08699088042182324
ibc_var_lag,1.3515738905472015,0.04602085823803164,Mineração,0.08699088042182324
var_dolar_lag,-0.6950533952094624,0.005345570337471533,Mineração,0.08699088042182324
const,0.0058233658045354336,0.19534622430147525,Máquinas e Equipamentos,0.2595548310706036
delta_ipca_lag,-0.013705602874226074,0.2805534039027861,Máquinas e Equipamentos,0.2595548310706036
delta_selic_lag,-0.04722042260779598,9.798334480937397e-05,Máquinas e Equipamentos,0.2595548310706036
ibc_var_lag,0.6805072054763814,0.0602825052884748,Máquinas e Equipamentos,0.2595548310706036
var_dolar_lag,-0.7999712661175977,7.443514079712801e-09,Máquinas e Equipamentos,0.2595548310706036
const,-0.03207118822323806,0.08323352616871106,Outros,0.04650571701174222
delta_ipca_lag,-0.10563237310344209,0.047666545012289764,Outros,0.04650571701174222
delta_selic_lag,-0.037661383548857855,0.4442758738205973,Outros,0.04650571701174222
ibc_var_lag,-2.209800217307009,0.1316876306860089,Outros,0.04650571701174222
var_dolar_lag,0.5029245439063644,0.3455006518006867,Outros,0.04650571701174222
const,-0.00211623414126183,0.7358101408339939,"Petróleo, Gás e Biocombustíveis",0.2538173477386605
delta_ipca_lag,0.021901385850265125,0.2293542028720218,"Petróleo, Gás e Biocombustíveis",0.2538173477386605
delta_selic_lag,-0.041853153603928786,0.014404099881628094,"Petróleo, Gás e Biocombustíveis",0.2538173477386605
ibc_var_lag,0.537758002415134,0.278174210439703,"Petróleo, Gás e Biocombustíveis",0.2538173477386605
var_dolar_lag,-1.3394931566040496,3.6734699886252044e-12,"Petróleo, Gás e Biocombustíveis",0.2538173477386605
const,0.007900708077684863,0.08080255871612406,Previdência e Seguros,0.1939878743282737
