subsetor,var_dolar_lag
Medicamentos e Outros Produtos,3.184740408927216
Outros,3.01886516799299
Gás,1.3198642572429624
Agropecuária,1.1296447754596382
Madeira e Papel,1.1167325578035745
Bebidas,0.8302170066697537
Alimentos Processados,0.7322666192273657
Equipamentos,0.6134832563767348
Energia Elétrica,0.554957890854211
Material de Transporte,0.3675100119631301
Programas e Serviços,0.3593804458968619
Mineração,0.3314383240845476
"Serv.Méd.Hospit.,Análises e Diagnósticos",0.2895590051052548
Previdência e Seguros,0.27470693144280284
Holdings Diversificadas,0.21312294274179977
Químicos,0.19922252200375806
Máquinas e Equipamentos,0.09607580739885246
Utilidades Domésticas,0.045464488828183595
Telecomunicações,-0.005813577089022769
Comércio e Distribuição,-0.06352388401419236
Serviços Financeiros Diversos,-0.08836711443009791
Água e Saneamento,-0.10317976380733117
Intermediários Financeiros,-0.12073409257211025
Exploração de Imóveis,-0.27878701579051457
Siderurgia e Metalurgia,-0.39105911946790284
Embalagens,-0.419886866420715
"Tecidos, Vestuário e Calçados",-0.5012283862648947
Automóveis e Motocicletas,-0.6661032853206177
Construção e Engenharia,-0.6872639172257544
Viagens e Lazer,-0.6891337269781609
Serviços,-0.7625576023118428
Diversos,-0.8199093604314077
Hoteis e Restaurantes,-0.8353268178172006
Produtos de Cuidado Pessoal e de Limpeza,-0.92528213542758
Computadores e Equipamentos,-1.0278097740857017
"Petróleo, Gás e Biocombustíveis",-1.1142349704771122
Transporte,-1.1365094460043785
Comércio Varejista,-1.2588193710595426
Construção Civil,-1.359319563156407
Materiais Diversos,-1.4224026298671562
